Accident.Number,Aircraft.Category,Aircraft.Destroyed,Aircraft.Type,Aircraft.damage,Amateur.Built,Broad.phase.of.flight,Country,Engine.Type,Event.Date,Event.Id,FAR.Description,Fatal.Serious,Fatal.Serious.Rate,Injury.Severity,Investigation.Type,Location,Make,Model,Number.of.Engines,Publication.Date,Purpose.of.flight,Registration.Number,Total.Fatal.Injuries,Total.Minor.Injuries,Total.People,Total.Serious.Injuries,Total.Uninjured,Weather.Condition
GAA19CA539,Airplane,False,PIPER J3C,Substantial,No,,United States,RECIPROCATING,2019-09-04,20190911X54459,091,0.0,0.0,Non-Fatal,Accident,"Winfield, AL",PIPER,J3C,1.0,26-09-2020,PERSONAL,N7326H,0.0,0.0,1.0,0.0,1.0,VMC
GAA19CA525,Airplane,False,CESSNA 182,Substantial,No,,United States,RECIPROCATING,2019-09-05,20190905X00425,091,1.0,1.0,Non-Fatal,Accident,"Charleston, WV",CESSNA,182,1.0,26-09-2020,PERSONAL,N2408Q,0.0,0.0,1.0,1.0,0.0,VMC
GAA19CA536,Airplane,False,CESSNA 310,Substantial,No,,United States,RECIPROCATING,2019-09-05,20190906X30739,091,2.0,1.0,Non-Fatal,Accident,"TAHLEQUAH, OK",CESSNA,310,2.0,26-09-2020,PERSONAL,N7673Q,0.0,0.0,2.0,2.0,0.0,VMC
GAA19CA538,Airplane,False,PIPER PA18,Substantial,No,,United States,RECIPROCATING,2019-09-05,20190911X61152,091,0.0,0.0,Non-Fatal,Accident,"Palmer, AK",PIPER,PA18,1.0,26-09-2020,PERSONAL,N19GB,0.0,0.0,2.0,0.0,2.0,VMC
ANC19LA053,Airplane,False,PIPER PA18,Substantial,No,,United States,RECIPROCATING,2019-09-05,20190917X94314,091,0.0,0.0,Non-Fatal,Accident,"Chugiak, AK",PIPER,PA18,1.0,19-11-2020,INSTRUCTIONAL,N5057Y,0.0,0.0,2.0,0.0,2.0,VMC
GAA19WA565,Airplane,True,CESSNA 172,Destroyed,No,,Canada,,2019-09-05,20190925X15631,NUSN,1.0,1.0,Fatal,Accident,"Racine, Canada",CESSNA,172,,26-09-2020,,C-GSEN,1.0,0.0,1.0,0.0,0.0,
GAA19WA593,Airplane,False,PIPER PA25,Unknown,No,,Mexico,,2019-09-05,20191118X85751,NUSN,0.0,0.0,Non-Fatal,Accident,"Mazatan, Chiapas, Mexico",PIPER,PA25,,26-09-2020,,XB-LED,0.0,0.0,1.0,0.0,1.0,
CEN19LA322,Airplane,False,CESSNA 195A,Substantial,No,,United States,RECIPROCATING,2019-09-06,20190906X41941,091,0.0,0.0,Non-Fatal,Accident,"Pocahontas, IA",CESSNA,195A,1.0,28-01-2021,PERSONAL,N9895A,0.0,0.0,2.0,0.0,2.0,VMC
CEN19LA304,Airplane,False,PIPER PA-28D-180,Substantial,No,,United States,RECIPROCATING,2019-09-06,20190906X42945,091,0.0,0.0,Non-Fatal,Accident,"Midlothian, TX",PIPER,PA-28D-180,1.0,28-01-2021,INSTRUCTIONAL,N6595J,0.0,0.0,1.0,0.0,1.0,VMC
WPR19FA251,Airplane,False,PIPER PA18,Substantial,No,,United States,RECIPROCATING,2019-09-06,20190906X45558,091,2.0,1.0,Fatal,Accident,"Hood River, OR",PIPER,PA18,1.0,26-09-2020,PERSONAL,N14365,2.0,0.0,2.0,0.0,0.0,
DCA19CA213,Airplane,False,AIRBUS A319,Unknown,No,,United States,TURBO FAN,2019-09-06,20190916X91526,121,0.0,0.0,Non-Fatal,Accident,"Fort Myers, FL",AIRBUS,A319,2.0,26-01-2021,,N515NK,0.0,1.0,108.0,0.0,107.0,VMC
CEN19FA305,Airplane,True,CHAMPION 7GCBC,Destroyed,No,,United States,RECIPROCATING,2019-09-07,20190907X85739,091,1.0,1.0,Fatal,Accident,"Carpenter, WY",CHAMPION,7GCBC,1.0,15-07-2021,PERSONAL,N5502S,1.0,0.0,1.0,0.0,0.0,VMC
CEN19TA310,Airplane,False,CHAMPION 7KCAB,Substantial,No,,United States,RECIPROCATING,2019-09-07,20190909X25819,091,0.0,0.0,Non-Fatal,Accident,"Winnsboro, LA",CHAMPION,7KCAB,1.0,28-01-2021,PERSONAL,N4136Y,0.0,0.0,2.0,0.0,2.0,VMC
DCA19WA218,Airplane,False,BOEING 767,Minor,No,,Saudi Arabia,,2019-09-08,20190918X43537,NUSC,0.0,,,Incident,"Jeddah, Saudi Arabia",BOEING,767,,26-09-2020,,ET-ALO,0.0,0.0,0.0,0.0,0.0,
WPR19FA252,Airplane,True,BEECH C24,Destroyed,No,,United States,RECIPROCATING,2019-09-08,20190908X00550,091,2.0,0.5,Fatal,Accident,"Las Vegas, NV",BEECH,C24,1.0,26-09-2020,INSTRUCTIONAL,N24030,2.0,2.0,4.0,0.0,0.0,VMC
ERA19FA266,Airplane,False,CESSNA 210,Substantial,No,,United States,RECIPROCATING,2019-09-08,20190908X05518,091,2.0,1.0,Fatal,Accident,"Marathon, FL",CESSNA,210,1.0,24-08-2021,PERSONAL,N9436X,2.0,0.0,2.0,0.0,0.0,VMC
GAA19CA535,Airplane,False,AIR TRACTOR AT 602,Substantial,No,,United States,TURBO PROP,2019-09-08,20190908X51027,091,1.0,0.5,Non-Fatal,Accident,"TURKEY, TX",AIR TRACTOR,AT 602,1.0,26-09-2020,PERSONAL,N602SS,0.0,0.0,2.0,1.0,1.0,VMC
ERA19LA267,Airplane,False,GRUMMAN G164,Substantial,No,,United States,RECIPROCATING,2019-09-08,20190908X55520,137,0.0,0.0,Non-Fatal,Accident,"Berlin, MD",GRUMMAN,G164,1.0,26-09-2020,AERIAL APPLICATION,N8386K,0.0,0.0,1.0,0.0,1.0,VMC
